"data";"k";"i";"fill";"elements";"quotient";"tp";"fp";"fn";"precision";"recall";"fscore"
"Synthetic";15;22;0.58483;240;0.03;887;0;113;1;0.887;0.9435
"Synthetic";15;23;0.585782;240;0.03;888;0;112;1;0.888;0.944
"Synthetic";15;24;0.58092;240;0.03;891;0;109;1;0.891;0.9455
"Synthetic";15;25;0.581224;240;0.03;886;0;114;1;0.886;0.943
"Synthetic";15;26;0.586164;240;0.03;888;0;112;1;0.888;0.944
"Synthetic";15;27;0.583756;240;0.03;885;0;115;1;0.885;0.9425
"Synthetic";15;28;0.585126;240;0.03;881;0;119;1;0.881;0.9405
"Synthetic";15;29;0.586428;240;0.03;882;0;118;1;0.882;0.941
"Synthetic";15;30;0.58295;240;0.03;885;0;115;1;0.885;0.9425
"Synthetic";5;1;0.253346;80;0.01;842;0;158;1;0.842;0.921
"Synthetic";5;2;0.254584;80;0.01;849;0;151;1;0.849;0.9245
"Synthetic";5;3;0.253194;80;0.01;844;0;156;1;0.844;0.922
"Synthetic";5;4;0.254216;80;0.01;840;0;160;1;0.84;0.92
"Synthetic";5;5;0.254862;80;0.01;847;0;153;1;0.847;0.9235
"Synthetic";5;6;0.25266;80;0.01;847;0;153;1;0.847;0.9235
"Synthetic";5;7;0.252836;80;0.01;848;0;152;1;0.848;0.924
"Synthetic";5;8;0.252872;80;0.01;852;0;148;1;0.852;0.926
"Synthetic";5;9;0.254264;80;0.01;846;0;154;1;0.846;0.923
"Synthetic";5;10;0.253108;80;0.01;849;0;151;1;0.849;0.9245
"Synthetic";5;11;0.255702;80;0.01;839;0;161;1;0.839;0.9195
"Synthetic";5;12;0.255962;80;0.01;845;0;155;1;0.845;0.9225
"Synthetic";5;13;0.254012;80;0.01;843;0;157;1;0.843;0.9215
"Synthetic";5;14;0.255924;80;0.01;844;0;156;1;0.844;0.922
"Synthetic";5;15;0.255014;80;0.01;849;0;151;1;0.849;0.9245
"Synthetic";5;16;0.253858;80;0.01;848;0;152;1;0.848;0.924
"Synthetic";5;17;0.25449;80;0.01;845;0;155;1;0.845;0.9225
"Synthetic";5;18;0.254418;80;0.01;850;0;150;1;0.85;0.925
"Synthetic";5;19;0.2539;80;0.01;847;0;153;1;0.847;0.9235
"Synthetic";5;20;0.254336;80;0.01;850;0;150;1;0.85;0.925
"Synthetic";5;21;0.253862;80;0.01;842;0;158;1;0.842;0.921
"Synthetic";5;22;0.255354;80;0.01;850;0;150;1;0.85;0.925
"Synthetic";5;23;0.252996;80;0.01;847;0;153;1;0.847;0.9235
"Synthetic";5;24;0.25317;80;0.01;844;0;156;1;0.844;0.922
"Synthetic";5;25;0.254378;80;0.01;846;0;154;1;0.846;0.923
"Synthetic";5;26;0.252444;80;0.01;848;0;152;1;0.848;0.924
"Synthetic";5;27;0.254208;80;0.01;846;0;154;1;0.846;0.923
"Synthetic";5;28;0.255148;80;0.01;846;0;154;1;0.846;0.923
"Synthetic";5;29;0.255442;80;0.01;845;0;155;1;0.845;0.9225
"Synthetic";5;30;0.2545;80;0.01;845;0;155;1;0.845;0.9225
"Synthetic";10;1;0.442878;160;0.02;868;0;132;1;0.868;0.934
"Synthetic";10;2;0.442164;160;0.02;871;0;129;1;0.871;0.9355
"Synthetic";10;3;0.444012;160;0.02;866;0;134;1;0.866;0.933
"Synthetic";10;4;0.44332;160;0.02;870;0;130;1;0.87;0.935
"Synthetic";10;5;0.442284;160;0.02;873;0;127;1;0.873;0.9365
"Synthetic";10;6;0.442932;160;0.02;860;0;140;1;0.86;0.93
"Synthetic";10;7;0.44485;160;0.02;876;0;124;1;0.876;0.938
"Synthetic";10;8;0.44525;160;0.02;871;0;129;1;0.871;0.9355
"Synthetic";10;9;0.445228;160;0.02;870;0;130;1;0.87;0.935
"Synthetic";10;10;0.441964;160;0.02;872;0;128;1;0.872;0.936
"Synthetic";10;11;0.443352;160;0.02;866;0;134;1;0.866;0.933
"Synthetic";10;12;0.444444;160;0.02;867;0;133;1;0.867;0.9335
"Synthetic";10;13;0.441898;160;0.02;858;0;142;1;0.858;0.929
"Synthetic";10;14;0.442784;160;0.02;868;0;132;1;0.868;0.934
"Synthetic";10;15;0.445338;160;0.02;872;0;128;1;0.872;0.936
"Synthetic";10;16;0.44286;160;0.02;869;0;131;1;0.869;0.9345
"Synthetic";10;17;0.444654;160;0.02;870;0;130;1;0.87;0.935
"Synthetic";10;18;0.44307;160;0.02;871;0;129;1;0.871;0.9355
"Synthetic";10;19;0.444558;160;0.02;871;0;129;1;0.871;0.9355
"Synthetic";10;20;0.4429;160;0.02;873;0;127;1;0.873;0.9365
"Synthetic";10;21;0.44321;160;0.02;868;0;132;1;0.868;0.934
"Synthetic";10;22;0.441482;160;0.02;866;0;134;1;0.866;0.933
"Synthetic";10;23;0.442822;160;0.02;867;0;133;1;0.867;0.9335
"Synthetic";10;24;0.44398;160;0.02;867;0;133;1;0.867;0.9335
"Synthetic";10;25;0.443044;160;0.02;868;0;132;1;0.868;0.934
"Synthetic";10;26;0.44255;160;0.02;873;0;127;1;0.873;0.9365
"Synthetic";10;27;0.443498;160;0.02;877;0;123;1;0.877;0.9385
"Synthetic";10;28;0.443072;160;0.02;866;0;134;1;0.866;0.933
"Synthetic";10;29;0.44446;160;0.02;866;0;134;1;0.866;0.933
"Synthetic";10;30;0.44421;160;0.02;868;0;132;1;0.868;0.934
"Synthetic";15;1;0.585138;240;0.03;890;0;110;1;0.89;0.945
"Synthetic";15;2;0.584714;240;0.03;888;0;112;1;0.888;0.944
"Synthetic";15;3;0.581986;240;0.03;892;0;108;1;0.892;0.946
"Synthetic";15;4;0.586656;240;0.03;893;0;107;1;0.893;0.9465
"Synthetic";15;5;0.58574;240;0.03;888;0;112;1;0.888;0.944
"Synthetic";15;6;0.584616;240;0.03;888;0;112;1;0.888;0.944
"Synthetic";15;7;0.584554;240;0.03;885;0;115;1;0.885;0.9425
"Synthetic";15;8;0.585002;240;0.03;892;0;108;1;0.892;0.946
"Synthetic";15;9;0.587432;240;0.03;886;0;114;1;0.886;0.943
"Synthetic";15;10;0.585244;240;0.03;889;0;111;1;0.889;0.9445
"Synthetic";15;11;0.585198;240;0.03;888;0;112;1;0.888;0.944
"Synthetic";15;12;0.58178;240;0.03;883;0;117;1;0.883;0.9415
"Synthetic";15;13;0.585644;240;0.03;886;0;114;1;0.886;0.943
"Synthetic";15;14;0.58266;240;0.03;888;0;112;1;0.888;0.944
"Synthetic";15;15;0.584146;240;0.03;887;0;113;1;0.887;0.9435
"Synthetic";15;16;0.58399;240;0.03;887;0;113;1;0.887;0.9435
"Synthetic";15;17;0.58068;240;0.03;883;0;117;1;0.883;0.9415
"Synthetic";15;18;0.583606;240;0.03;886;0;114;1;0.886;0.943
"Synthetic";15;19;0.582484;240;0.03;888;0;112;1;0.888;0.944
"Synthetic";15;20;0.585018;240;0.03;888;0;112;1;0.888;0.944
"Synthetic";15;21;0.588588;240;0.03;883;0;117;1;0.883;0.9415
"Synthetic";15;22;0.5861;240;0.03;883;0;117;1;0.883;0.9415
"Synthetic";15;23;0.584766;240;0.03;896;0;104;1;0.896;0.948
"Synthetic";15;24;0.584066;240;0.03;884;0;116;1;0.884;0.942
"Synthetic";15;25;0.5865;240;0.03;889;0;111;1;0.889;0.9445
"Synthetic";15;26;0.584106;240;0.03;885;0;115;1;0.885;0.9425
"Synthetic";15;27;0.58383;240;0.03;883;0;117;1;0.883;0.9415
"Synthetic";15;28;0.58292;240;0.03;892;0;108;1;0.892;0.946
"Synthetic";15;29;0.582044;240;0.03;881;0;119;1;0.881;0.9405
"Synthetic";15;30;0.5843;240;0.03;891;0;109;1;0.891;0.9455
