data	type	q	k	i	l	Tani	Fmeasure	filesizeA	filesizeB	meanentropy	meanengrams	sdgrams	skew	ginicoefficient	ginicoefficientqgrams	errorestimation	missingamount	hammingweight	uniqueness	sduniqueness	meanmissing	missingamount.1	uniquepatternsA	uniquepatternsB	m	u
FEBRL WA	CLK	1	1	1	500	0.9	0.795843149693529	100000	100000	0.750783009075672	21.38579	2.42631715693754	1.59165259233752	0.541161900959616	0.670059872033886	1182.41666666667	1	15.515975	0.731245570911923	0.0759350767646303	1e-05	1	99945	98067	9.99395138913867e-06	0.999990006048611
FEBRL WA	CLK	1	2	1	500	0.9	0.792969576941951	100000	100000	0.750783009075672	21.38579	2.42631715693754	1.59165259233752	0.541161900959616	0.670059872033886	1182.41666666667	1	29.26076	0.731245570911923	0.0759350767646303	1e-05	1	99950	98082	9.99395138913867e-06	0.999990006048611
FEBRL WA	CLK	1	3	1	500	0.9	0.794726443167305	100000	100000	0.750783009075672	21.38579	2.42631715693754	1.59165259233752	0.541161900959616	0.670059872033886	1182.41666666667	1	44.8216	0.731245570911923	0.0759350767646303	1e-05	1	99950	98092	9.99395138913867e-06	0.999990006048611
FEBRL WA	CLK	1	4	1	500	0.9	0.79579462220941	100000	100000	0.750783009075672	21.38579	2.42631715693754	1.59165259233752	0.541161900959616	0.670059872033886	1182.41666666667	1	59.889215	0.731245570911923	0.0759350767646303	1e-05	1	99950	98093	9.99395138913867e-06	0.999990006048611
FEBRL WA	CLK	1	5	1	500	0.9	0.793989014621742	100000	100000	0.750783009075672	21.38579	2.42631715693754	1.59165259233752	0.541161900959616	0.670059872033886	1182.41666666667	1	73.308845	0.731245570911923	0.0759350767646303	1e-05	1	99950	98092	9.99395138913867e-06	0.999990006048611
FEBRL WA	CLK	1	6	1	500	0.9	0.794311555115314	100000	100000	0.750783009075672	21.38579	2.42631715693754	1.59165259233752	0.541161900959616	0.670059872033886	1182.41666666667	1	86.81622	0.731245570911923	0.0759350767646303	1e-05	1	99950	98093	9.99395138913867e-06	0.999990006048611
FEBRL WA	CLK	1	7	1	500	0.9	0.795063145553241	100000	100000	0.750783009075672	21.38579	2.42631715693754	1.59165259233752	0.541161900959616	0.670059872033886	1182.41666666667	1	97.55427	0.731245570911923	0.0759350767646303	1e-05	1	99950	98093	9.99395138913867e-06	0.999990006048611
FEBRL WA	CLK	1	8	1	500	0.9	0.79446937039423	100000	100000	0.750783009075672	21.38579	2.42631715693754	1.59165259233752	0.541161900959616	0.670059872033886	1182.41666666667	1	110.953415	0.731245570911923	0.0759350767646303	1e-05	1	99950	98093	9.99395138913867e-06	0.999990006048611
FEBRL WA	CLK	1	9	1	500	0.9	0.793593467016198	100000	100000	0.750783009075672	21.38579	2.42631715693754	1.59165259233752	0.541161900959616	0.670059872033886	1182.41666666667	1	121.37293	0.731245570911923	0.0759350767646303	1e-05	1	99950	98093	9.99395138913867e-06	0.999990006048611
FEBRL WA	CLK	1	10	1	500	0.9	0.792727625782735	100000	100000	0.750783009075672	21.38579	2.42631715693754	1.59165259233752	0.541161900959616	0.670059872033886	1182.41666666667	1	135.96626	0.731245570911923	0.0759350767646303	1e-05	1	99950	98093	9.99395138913867e-06	0.999990006048611
FEBRL WA	CLK	1	11	1	500	0.9	0.79173521599605	100000	100000	0.750783009075672	21.38579	2.42631715693754	1.59165259233752	0.541161900959616	0.670059872033886	1182.41666666667	1	145.42577	0.731245570911923	0.0759350767646303	1e-05	1	99950	98093	9.99395138913867e-06	0.999990006048611
FEBRL WA	CLK	1	12	1	500	0.9	0.791270813670024	100000	100000	0.750783009075672	21.38579	2.42631715693754	1.59165259233752	0.541161900959616	0.670059872033886	1182.41666666667	1	157.114885	0.731245570911923	0.0759350767646303	1e-05	1	99950	98093	9.99395138913867e-06	0.999990006048611
FEBRL WA	CLK	1	13	1	500	0.9	0.789131490969126	100000	100000	0.750783009075672	21.38579	2.42631715693754	1.59165259233752	0.541161900959616	0.670059872033886	1182.41666666667	1	163.701965	0.731245570911923	0.0759350767646303	1e-05	1	99950	98093	9.99395138913867e-06	0.999990006048611
FEBRL WA	CLK	1	14	1	500	0.9	0.790936628679453	100000	100000	0.750783009075672	21.38579	2.42631715693754	1.59165259233752	0.541161900959616	0.670059872033886	1182.41666666667	1	179.98198	0.731245570911923	0.0759350767646303	1e-05	1	99950	98093	9.99395138913867e-06	0.999990006048611
FEBRL WA	CLK	1	15	1	500	0.9	0.789770433900993	100000	100000	0.750783009075672	21.38579	2.42631715693754	1.59165259233752	0.541161900959616	0.670059872033886	1182.41666666667	1	186.250575	0.731245570911923	0.0759350767646303	1e-05	1	99950	98093	9.99395138913867e-06	0.999990006048611
FEBRL WA	CLK	1	16	1	500	0.9	0.784543267653113	100000	100000	0.750783009075672	21.38579	2.42631715693754	1.59165259233752	0.541161900959616	0.670059872033886	1182.41666666667	1	195.552295	0.731245570911923	0.0759350767646303	1e-05	1	99950	98093	9.99395138913867e-06	0.999990006048611
FEBRL WA	CLK	1	17	1	500	0.9	0.787532293262502	100000	100000	0.750783009075672	21.38579	2.42631715693754	1.59165259233752	0.541161900959616	0.670059872033886	1182.41666666667	1	204.544625	0.731245570911923	0.0759350767646303	1e-05	1	99950	98093	9.99395138913867e-06	0.999990006048611
FEBRL WA	CLK	1	18	1	500	0.9	0.783619840968431	100000	100000	0.750783009075672	21.38579	2.42631715693754	1.59165259233752	0.541161900959616	0.670059872033886	1182.41666666667	1	218.9833	0.731245570911923	0.0759350767646303	1e-05	1	99950	98093	9.99395138913867e-06	0.999990006048611
