data	type	q	k	i	l	Tani	Fmeasure	filesizeA	filesizeB	meanentropy	meanengrams	sdgrams	skew	ginicoefficient	ginicoefficientqgrams	errorestimation	hammingweight	uniqueness	sduniqueness	meanmissing	missingamount	uniquepatternsA	uniquepatternsB	m	u
NC Voter	CLK	1	1	1	500	0.9	0.914778531821046	50000	50000	0.926136475743639	17.43308	2.24239654843777	1.02127005065707	0.627814020064006	0.502477460566875	72.0963855421687	14.44241	0.791403105106708	0.0825537901316785	0	0	49764	49748	3.87502497529227e-05	0.999961249750247
NC Voter	CLK	1	2	1	500	0.9	0.911791719533939	50000	50000	0.926136475743639	17.43308	2.24239654843777	1.02127005065707	0.627814020064006	0.502477460566875	72.0963855421687	28.10075	0.791403105106708	0.0825537901316785	0	0	49768	49752	3.87502497529227e-05	0.999961249750247
NC Voter	CLK	1	3	1	500	0.9	0.912958411826865	50000	50000	0.926136475743639	17.43308	2.24239654843777	1.02127005065707	0.627814020064006	0.502477460566875	72.0963855421687	41.48759	0.791403105106708	0.0825537901316785	0	0	49768	49752	3.87502497529227e-05	0.999961249750247
NC Voter	CLK	1	4	1	500	0.9	0.909644876373061	50000	50000	0.926136475743639	17.43308	2.24239654843777	1.02127005065707	0.627814020064006	0.502477460566875	72.0963855421687	55.04557	0.791403105106708	0.0825537901316785	0	0	49768	49752	3.87502497529227e-05	0.999961249750247
NC Voter	CLK	1	5	1	500	0.9	0.914537666340611	50000	50000	0.926136475743639	17.43308	2.24239654843777	1.02127005065707	0.627814020064006	0.502477460566875	72.0963855421687	69.0746	0.791403105106708	0.0825537901316785	0	0	49768	49752	3.87502497529227e-05	0.999961249750247
NC Voter	CLK	1	6	1	500	0.9	0.906296370570217	50000	50000	0.926136475743639	17.43308	2.24239654843777	1.02127005065707	0.627814020064006	0.502477460566875	72.0963855421687	78.94125	0.791403105106708	0.0825537901316785	0	0	49768	49752	3.87502497529227e-05	0.999961249750247
NC Voter	CLK	1	7	1	500	0.9	0.910904782251438	50000	50000	0.926136475743639	17.43308	2.24239654843777	1.02127005065707	0.627814020064006	0.502477460566875	72.0963855421687	92.4235	0.791403105106708	0.0825537901316785	0	0	49768	49752	3.87502497529227e-05	0.999961249750247
NC Voter	CLK	1	8	1	500	0.9	0.904393127833182	50000	50000	0.926136475743639	17.43308	2.24239654843777	1.02127005065707	0.627814020064006	0.502477460566875	72.0963855421687	103.61733	0.791403105106708	0.0825537901316785	0	0	49768	49752	3.87502497529227e-05	0.999961249750247
NC Voter	CLK	1	9	1	500	0.9	0.905884460322286	50000	50000	0.926136475743639	17.43308	2.24239654843777	1.02127005065707	0.627814020064006	0.502477460566875	72.0963855421687	113.46614	0.791403105106708	0.0825537901316785	0	0	49768	49752	3.87502497529227e-05	0.999961249750247
NC Voter	CLK	1	10	1	500	0.9	0.906374835031046	50000	50000	0.926136475743639	17.43308	2.24239654843777	1.02127005065707	0.627814020064006	0.502477460566875	72.0963855421687	124.68222	0.791403105106708	0.0825537901316785	0	0	49768	49752	3.87502497529227e-05	0.999961249750247
NC Voter	CLK	1	11	1	500	0.9	0.906645015275052	50000	50000	0.926136475743639	17.43308	2.24239654843777	1.02127005065707	0.627814020064006	0.502477460566875	72.0963855421687	138.52266	0.791403105106708	0.0825537901316785	0	0	49768	49752	3.87502497529227e-05	0.999961249750247
NC Voter	CLK	1	12	1	500	0.9	0.902867936539613	50000	50000	0.926136475743639	17.43308	2.24239654843777	1.02127005065707	0.627814020064006	0.502477460566875	72.0963855421687	150.34157	0.791403105106708	0.0825537901316785	0	0	49768	49752	3.87502497529227e-05	0.999961249750247
NC Voter	CLK	1	13	1	500	0.9	0.903853592938733	50000	50000	0.926136475743639	17.43308	2.24239654843777	1.02127005065707	0.627814020064006	0.502477460566875	72.0963855421687	157.94167	0.791403105106708	0.0825537901316785	0	0	49768	49752	3.87502497529227e-05	0.999961249750247
NC Voter	CLK	1	14	1	500	0.9	0.897565320356214	50000	50000	0.926136475743639	17.43308	2.24239654843777	1.02127005065707	0.627814020064006	0.502477460566875	72.0963855421687	166.80578	0.791403105106708	0.0825537901316785	0	0	49768	49752	3.87502497529227e-05	0.999961249750247
NC Voter	CLK	1	15	1	500	0.9	0.898471967138833	50000	50000	0.926136475743639	17.43308	2.24239654843777	1.02127005065707	0.627814020064006	0.502477460566875	72.0963855421687	173.60859	0.791403105106708	0.0825537901316785	0	0	49768	49752	3.87502497529227e-05	0.999961249750247
NC Voter	CLK	1	16	1	500	0.9	0.897135172908116	50000	50000	0.926136475743639	17.43308	2.24239654843777	1.02127005065707	0.627814020064006	0.502477460566875	72.0963855421687	186.7156	0.791403105106708	0.0825537901316785	0	0	49768	49752	3.87502497529227e-05	0.999961249750247
NC Voter	CLK	1	17	1	500	0.9	0.888547382010259	50000	50000	0.926136475743639	17.43308	2.24239654843777	1.02127005065707	0.627814020064006	0.502477460566875	72.0963855421687	194.99541	0.791403105106708	0.0825537901316785	0	0	49768	49752	3.87502497529227e-05	0.999961249750247
NC Voter	CLK	1	18	1	500	0.9	0.89026678267223	50000	50000	0.926136475743639	17.43308	2.24239654843777	1.02127005065707	0.627814020064006	0.502477460566875	72.0963855421687	198.27792	0.791403105106708	0.0825537901316785	0	0	49768	49752	3.87502497529227e-05	0.999961249750247
NC Voter	CLK	1	19	1	500	0.9	0.883271586258682	50000	50000	0.926136475743639	17.43308	2.24239654843777	1.02127005065707	0.627814020064006	0.502477460566875	72.0963855421687	211.46194	0.791403105106708	0.0825537901316785	0	0	49768	49752	3.87502497529227e-05	0.999961249750247
