"data"	"variant"	"q"	"k"	"l"	"Tani"	"filesizea"	"filesizeb"	"realpositives"	"tp"	"fp"	"tn"	"fn"	"recall"	"precision"	"Fmeasure"	"RMSE"
"German Mortality"	"50%-Rule Parameter choice"	"2"	"17"	"500"	"1"	"14003"	"2466"	"896"	"748"	"0"	"148"	"34530502"	"0.834821428571429"	"1"	"0.917410714285714"	"0.0162523263667408"
"German Mortality"	"50%-Rule Parameter choice"	"2"	"17"	"500"	"0.95"	"14003"	"2466"	"896"	"757"	"0"	"139"	"34530502"	"0.844866071428571"	"1"	"0.922433035714286"	"0.0162523263667408"
"German Mortality"	"50%-Rule Parameter choice"	"2"	"17"	"500"	"0.9"	"14003"	"2466"	"896"	"775"	"0"	"121"	"34530502"	"0.864955357142857"	"1"	"0.932477678571429"	"0.0162523263667408"
"German Mortality"	"50%-Rule Parameter choice"	"2"	"17"	"500"	"0.85"	"14003"	"2466"	"896"	"806"	"1"	"90"	"34530501"	"0.899553571428571"	"0.998760842627014"	"0.949157207027792"	"0.0162523263667408"
"German Mortality"	"50%-Rule Parameter choice"	"2"	"17"	"500"	"0.8"	"14003"	"2466"	"896"	"844"	"2"	"52"	"34530500"	"0.941964285714286"	"0.997635933806147"	"0.969800109760216"	"0.0162523263667408"
"German Mortality"	"Optimal Parameter choice (RSM)"	"1"	"1"	"500"	"1"	"14003"	"2466"	"896"	"763"	"1"	"133"	"34530501"	"0.8515625"	"0.99869109947644"	"0.92512679973822"	"0.239599218347944"
"German Mortality"	"Optimal Parameter choice (RSM)"	"1"	"1"	"500"	"0.95"	"14003"	"2466"	"896"	"772"	"1"	"124"	"34530501"	"0.861607142857143"	"0.998706338939198"	"0.93015674089817"	"0.239599218347944"
"German Mortality"	"Optimal Parameter choice (RSM)"	"1"	"1"	"500"	"0.9"	"14003"	"2466"	"896"	"808"	"9"	"88"	"34530493"	"0.901785714285714"	"0.988984088127295"	"0.945384901206505"	"0.239599218347944"
"German Mortality"	"Optimal Parameter choice (RSM)"	"1"	"1"	"500"	"0.85"	"14003"	"2466"	"896"	"829"	"62"	"67"	"34530440"	"0.925223214285714"	"0.930415263748597"	"0.927819239017156"	"0.239599218347944"
"German Mortality"	"Optimal Parameter choice (RSM)"	"1"	"1"	"500"	"0.8"	"14003"	"2466"	"896"	"849"	"338"	"47"	"34530164"	"0.947544642857143"	"0.71524852569503"	"0.831396584276086"	"0.239599218347944"
"German Mortality"	"Optimal Parameter choice (RF)"	"1"	"10"	"500"	"1"	"14003"	"2466"	"896"	"763"	"1"	"133"	"34530501"	"0.8515625"	"0.99869109947644"	"0.92512679973822"	"0.0168036051304342"
"German Mortality"	"Optimal Parameter choice (RF)"	"1"	"10"	"500"	"0.95"	"14003"	"2466"	"896"	"783"	"2"	"113"	"34530500"	"0.873883928571429"	"0.997452229299363"	"0.935668078935396"	"0.0168036051304342"
