bigram	freq
OX	368
XN	366
GF	365
CS	363
UO	346
BD	337
BT	331
MD	327
C?	323
PC	323
PY	315
YF	307
CY	304
JK	302
KC	299
DF	288
QI	282
WK	277
IQ	273
YP	270
YU	270
FG	263
MZ	260
WN	257
JD	251
VL	249
GY	248
KG	248
XA	248
ZF	243
XH	239
AQ	237
JT	234
XT	230
BC	227
FB	224
KD	224
YW	220
KF	219
WC	217
IY	212
JN	209
HJ	202
MF	202
FZ	201
NV	201
?A	174
XI	171
ZR	171
TV	169
VC	165
DV	156
JS	155
SV	153
XM	150
YZ	143
?O	140
?Y	140
SJ	138
JR	126
FC	113
UU	111
BZ	106
BG	103
MJ	100
PG	99
VY	98
DC	97
JL	96
GC	95
QA	93
GJ	92
BJ	89
HZ	88
TD	88
EQ	85
_X	84
MW	83
?X	82
KP	81
VD	81
HC	80
KV	80
JM	79
Q_	78
XD	76
CT	73
HV	72
ZP	67
XB	65
BF	62
PZ	61
WH	61
JZ	60
VK	60
WT	60
CN	58
YJ	57
SQ	56
HP	55
KJ	54
PB	52
CM	49
WZ	49
CV	47
XO	47
KZ	46
YY	44
PD	43
ZV	43
YV	42
CW	41
NQ	41
DP	40
JJ	40
VN	40
FY	39
II	38
FD	37
UQ	36
PJ	34
OQ	33
WD	33
VG	30
GP	29
CQ	27
NX	24
PW	24
YQ	24
JH	23
XU	23
?J	22
JB	22
LQ	22
GZ	21
JV	21
QB	21
FW	19
WW	19
XF	19
XS	19
JW	18
WJ	18
XR	18
CD	17
MV	17
XK	17
XY	17
FP	16
VT	16
BW	15
VV	15
JF	14
KX	14
KQ	13
CB	12
CG	12
CP	12
FV	12
LX	12
QE	12
XW	12
ZJ	12
WM	11
FJ	9
QO	9
WF	9
._	8
GV	8
JG	8
JP	8
JY	7
YX	7
T.	6
VJ	6
WG	6
ZQ	6
CJ	5
DQ	5
N.	5
QS	5
VZ	5
CF	4
JQ	4
VM	4
WB	4
BP	3
MQ	3
QK	3
QY	3
VH	3
XC	3
XP	3
CX	2
FQ	2
?Q	2
QV	2
.V	2
WQ	2
X?	2
BV	1
.K	1
QD	1
QQ	1
QW	1
QZ	1
TQ	1
TX	1
VB	1
VF	1
WX	1
XG	1
XJ	1
